Nombre,Rango,Campo,Tipo,Faltantes,Descripcion,Analizable,AnalisisSimple,Indicador
Orders,A2:A831,orderID,ID,0,#Orden,1,Total de órdenes,TO
Orders,B2:B831,customerID,ID,0,#Cliente,1,Órdenes por cliente,TOC
Orders,C2:C831,employeeID,ID,0,#Empleado,1,"• Órdenes por empleado
•  Clientes por empleado","TOE
TO-CE"
Orders,D2:D831,orderDate,Fecha,0,Fecha de solicitud,1,Órdenes por fecha de solicitud,TO-FS
Orders,E2:E831,requiredDate,Fecha,0,Fecha de requerimiento,1,Días de requerimiento desde la solicitud,D-S
Orders,F2:F831,shippedDate,Fecha,21,Fecha de envío,1,"• Días de envío desde la solicitud
• Días de adelanto antes del requerimiento","D-ES
D-AR"
Orders,G2:G831,shipVia,ID,0,#Transportista,1,Órdenes por transportista,T-OT
Orders,H2:H831,freight,Moneda,0,Costo de envío,1,"• Costo promedio de envío
• Costo total de envío
• Costo total de envío por cliente
• Costo total de envío por empleado
• Costo promedio de envío por empleado
• Costo total de envío por ciudad
• Costo total de envío por país
• Costo promedio de envío por país","CXV
CYV
CY-VC
CY-VE
CY-VJ
CY-VK
CX-VK "
Orders,K2:K831,shipCity,Categoria,0,Ciudad de envío,1,Órdenes por ciudad,TOJ
Orders,N2:N831,shipCountry,Categoria,0,País envío,1,Órdenes por país,TOK
OrderDetails,A2:A2156,orderID,ID,0,#Orden,1,Total de detalles de órdenes,T-OD
OrderDetails,B2:B2156,productID,ID,0,#Producto,1,Total de productos por orden (x cantidad),TOP
OrderDetails,C2:C2156,unitPrice,Moneda,0,Precio unitario,1,"• Precio total por orden (x cantidad)
• Precio promedio por orden (x cantidad)
• Precio promedio por producto (x cantidad)
• Precio total por producto (x cantidad)","UY
UX
UXP
UYP"
OrderDetails,D2:D2156,quantity,Entero,0,Cantidad solicitada,1,Unidades por orden y producto,QP
OrderDetails,E2:E2156,discount,Porcentaje,0,Descuento aplicado,1,"• Descuento total por orden (precio x cantidad)
• Descuento total por orden y producto (precio x cantidad)","DY
DYP"
Customers,A2:A92,customerID,ID,0,#Cliente,1,Total de clientes,TC
Customers,D2:D92,contactTitle,Categoria,0,Puesto de la persona de contacto del comercio,1,"• Clientes por puesto
• Total de propietarios
• Porcentaje de propietarios","T-CH
T-CW
G-CW"
Customers,F2:F92,city,Categoria,0,Ciudad del comercio,1,Clientes por ciudad,T-CJ
Customers,I2:I92,country,Categoria,0,País del comercio,1,Clientes por país,T-CK
Employees,A2:A9,employeeID,ID,0,#Empleado,1,Total de Empleados,TE
Employees,D2:D9,title,Categoria,0,Puesto,1,Empleados por puesto,E1
Employees,E2:E9,titleOfCourtesy,Categoria,0,Referencia educativa,1,Empleados por título educativo,E2
Employees,F2:F9,birthDate,Fecha,0,Fecha de nacimiento,1,Empleados por edad,E2
Employees,G2:G9,hireDate,Fecha,0,Fecha de contratación,1,Empleados por antigüedad en meses de contratación,E3
Employees,I2:I9,city,Categoria,0,Ciudad del empleado,1,Empleados por ciudad,EJ
Employees,L2:L9,country,Categoria,0,País del empleado,1,Empleados por país,EK
Employees,P2:P9,reportsTo,ID,1,ID del jefe inmediato,1,Empleados por jefe,EE
Employees,R2:R9,education,Categoria,0,Educación principal,1,Empleados por carrera,E4
Employees,T2:T9,educationMode,Categoria,0,"Área / modalidad (Arts, Science…)",1,Empleados por tipo de carrera,E5
Employees,U2:U9,specialization,Binario,0,Especialización académica,1,Empleados especialidos,E6
Employees,V2:V9,educationType,Categoria,0,Tipo de educación (Psychology…),1,Empleados por tipo de educación,E7
Employees,W2:W9,educationExtra,Binario,0,Cursos adicionales o certificados,1,Empleados por cursos extra,E8
Employees,X2:X9,french,Binario,0,Habla francés,1,Empleados con dominio del francés,E9
Employees,Y2:Y9,german,Binario,0,Habla alemán,1,Empleados con dominio del alemán,E-10
Employees,Z2:Z9,international,Binario,0,Experiencia internacional,1,Empleados con experiencia internacional,E-11
Employees,AA2:AA9,languageDomain,Binario,0,Enfoque en idiomas,1,Empleados con enfoque en lenguas,E-12
Shippers,A2:A3,shipperID,ID,0,#Transportista,1,Total de transportistas,T-T
Products,A2:A78,productID,ID,0,#Producto,1,Total de productos,TP
Products,C2:C78,supplierID,ID,0,#Proveedor,1,Total de productos por proveedor,TPR
Products,D2:D78,categoryID,ID,0,#CategoríaProducto,1,Total de productos por categoría,TPZ
Products,F2:F78,unitPrice,Moneda,0,Precio unitario,1,"• Top de productos baratos
• Top de productos caros
• Precio promedio de los productos
• Precio mínimo de los productos
• Precio máximo de los productos
• Precio Q1 de los productos
• Precio Q2 de los productos
• Precio Q3 de los productos
• Precio máximo ajustado de los productos
• Precio mínimo ajustado de los productos","LP-A
LP-B
XP
AP
BP
Q1P
Q2P
Q3P
A*P
B*P
"
Products,G2:G78,unitsInStock,Entero,0,Unidades disponibles,1,"• Productos sin existencias
• Total de productos sin existencias
• Precio acumulado en existencias por producto
• Total acumulado en existencia de los productos","LP1
TP1
SP1
TSP1"
Products,H2:H78,unitsOnOrder,Entero,0,Unidades en espera de abastecimiento,1,"• Productos en abacestimiento
• Total de productos en abastecimiento
• Precio acumulado en abastecimiento por producto
• Total acumulado en abastecimiento de los productos","LP2
TP2
SP2
TSP2"
Products,I2:I78,reorderLevel,Entero,0,Nivel de abastecimiento,1,• Demanda de los productos,FP
Products,J2:J78,discontinued,Binario,0,Descontinuado,1,"• Productos desconcontinuados
• Total de productos desconcontinuados
• Total acumulado de existencias en productos descontinuados
• Total acumulado de abastecimiento en productos descontinuados","LP3
TP3
SP3
TSP3"
Suppliers,A2:A30,supplierID,ID,0,#Proveedor,1,Total de proveedores,TR
Suppliers,D2:D30,contactTitle,Categoria,0,Puesto de la persona de contacto del proveedor,1,Total de proveedores por puesto del contacto,TR1
Suppliers,F2:F30,city,Categoria,0,Ciudad del proveedor,1,Total de proveedores por ciudad,TRJ
Suppliers,I2:I30,country,Categoria,0,País del proveedor,1,Total de proveedores por país,TRK
Categories,A2:A8,categoryID,ID,0,#CategoríaProducto,1,Total de categorías,TZ
Categories,B2:B8,categoryName,Categoria,0,Nombre de la categoría,1,,Z1
Categories,D2:D8,drinks,Binario,0,Bebidas,1,,Z2
Categories,E2:E8,species,Binario,0,Especies,1,,Z3
Categories,F2:F8,candies,Binario,0,Dulces,1,,Z4
Categories,G2:G8,foods,Binario,0,Alimentos,1,,Z5
Categories,H2:H8,fruits,Binario,0,Frutos y semillas,1,,Z6
Categories,I2:I8,meat,Binario,0,Carnes,1,,Z7
Categories,J2:J8,bread,Binario,0,Pan y cereales,1,,Z8
